parliament,member,birthPlace,coordinates,start,end,party
2,Lord William Bentinck,Buckinghamshire,(-0.8 51.766666666),1802,1803,Whigs
2,George Canning,London,(-0.1275 51.507222222),1802,1806,Tories
2,Francis Burdett,Wiltshire,(-1.9 51.3),1802,1804,Conservative Party
1,William Huskisson,Birtsmorton Court,(-2.292 52.0171),1801,1802,Tories
1,James Ferguson,Aberdeenshire,(-2.123 57.151),1801,1802,Tories
1,"Robert Stewart, Viscount Castlereagh",Dublin,(-6.260277777 53.349722222),1801,1802,Whigs
2,"Charles Dundas, 1st Baron Amesbury",Berkshire,(-1.0 51.42),1802,1806,Whigs
1,Joseph Sydney Yorke,London,(-0.1275 51.507222222),1801,1802,Tories
2,Richard Price,Knighton,(-3.048216 52.343917),1802,1806,Conservative Party
2,"Charles Long, 1st Baron Farnborough",London,(-0.1275 51.507222222),1802,1806,Tories
2,"Maurice FitzGerald, 18th Knight of Kerry",Valentia Island,(-10.35 51.9),1802,1806,Whigs
2,George Legh Keck,Stoughton,(-1.05623 52.6129),1802,1806,Conservative Party
2,George Tierney,Gibraltar,(-5.35 36.14),1802,1806,Whigs
1,"William Wellesley-Pole, 3rd Earl of Mornington",County Meath,(-6.666666666 53.666666666),1801,1802,Tories
2,"George Percy, 5th Duke of Northumberland",London,(-0.1275 51.507222222),1802,1806,Tories
1,"Henry Dundas, 1st Viscount Melville",Dalkeith,(-3.068332 55.893642),1801,1802,Tories
1,"Henry Paget, 1st Marquess of Anglesey",London,(-0.1275 51.507222222),1801,1802,Whigs
2,"Edward Smith-Stanley, 13th Earl of Derby",London,(-0.1275 51.507222222),1802,1806,Whigs
2,John Nicholl,Llanmaes,(-3.46667 51.4167),1802,1806,Tories
2,William Smith,London Borough of Lambeth,(-0.116388888 51.460833333),1802,1806,Whigs
2,"Nicholas Vansittart, 1st Baron Bexley",Bloomsbury,(-0.125 51.523055555),1802,1806,Tories
2,George Dundas,Upleatham,(-1.01667 54.5667),1802,1806,Whigs
2,"Thomas Coke, 1st Earl of Leicester",London,(-0.1275 51.507222222),1802,1806,Whigs
2,"Sir William Curtis, 1st Baronet",Wapping,(-0.061 51.5073),1802,1806,Tories
2,William Wilberforce,Wilberforce House,(-0.328 53.7441),1802,1806,
1,Lord Edward Somerset,Badminton,(-2.285 51.543),1801,1802,
2,Eliab Harvey,Chigwell,(0.072269444 51.6225),1802,1806,
5,Thomas Maitland,Scotland,(-5.0 57.0),1802,1805,
2,Richard Martin,Dublin,(-6.260277777 53.349722222),1802,1806,
2,"John Campbell, 7th Duke of Argyll",London,(-0.1275 51.507222222),1802,1806,
2,"Francis Ogilvy-Grant, 6th Earl of Seafield",Castle Grant,(-3.594722222 57.351944444),1802,1806,
2,"Frederick Hervey, 1st Marquess of Bristol",Suffolk,(1.0 52.2),1802,1803,
1,"Sir Francis Baring, 1st Baronet",Exeter,(-3.526944444 50.725555555),1801,1802,
1,"William Scott, 1st Baron Stowell",Heworth,(-1.556 54.947),1801,1801,
2,John Fane,Wormsley Park,(-0.934224 51.6447),1802,1806,
2,John Markham,Westminster,(-0.1333 51.4995),1802,1806,
2,"Lawrence Dundas, 1st Earl of Zetland",Westminster,(-0.1333 51.4995),1802,1806,
2,"Sir John Aubrey, 6th Baronet",Buckinghamshire,(-0.8 51.766666666),1802,1806,
2,"Sir Manasseh Masseh Lopes, 1st Baronet",Jamaica,(-77.4 18.18),1802,1806,
1,"Sir Robert Vaughan, 2nd Baronet",Hengwrt,(-3.8997274 52.752039),1801,1802,
1,"Sir Thomas Frankland, 6th Baronet",London,(-0.1275 51.507222222),1801,1801,
2,"Sir Watkin Williams-Wynn, 5th Baronet",Wales,(-3.633333333 52.35),1802,1806,
2,Thomas Assheton Smith,Ashley,(-2.339 53.354),1802,1806,
2,William Dundas,Scotland,(-5.0 57.0),1802,1806,
1,William Johnstone Hope,Finchley,(-0.187 51.599),1801,1802,
2,William Madocks,London,(-0.1275 51.507222222),1802,1806,
1,"John Leicester, 1st Baron de Tabley",Tabley House,(-2.4131 53.296),1801,1802,
1,William Joseph Denison,London,(-0.1275 51.507222222),1801,1802,
2,Dugdale Dugdale,Warwickshire,(-1.583333333 52.333333333),1802,1806,
