parliament,member,birthPlace,coordinates,start,end,party
37,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1935,1945,Conservative Party
37,Harold Macmillan,Chelsea,(-0.1684 51.4875),1935,1945,Conservative Party
37,Anthony Eden,Durham,(-1.566666666 54.783333333),1935,1945,Conservative Party
34,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1924,1929,Conservative Party
32,Bonar Law,Rexton,(-64.871388888 46.642777777),1922,1923,Conservative Party
37,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1938,1945,Conservative Party
31,"Edward Carson, Baron Carson",Dublin,(-6.260277777 53.349722222),1918,1921,Conservative Party
37,Rab Butler,Attock Khurd,(72.234166666 33.888888888),1935,1945,Conservative Party
36,Austen Chamberlain,Birmingham,(-1.9025 52.48),1931,1935,Conservative Party
37,"Nancy Astor, Viscountess Astor",Danville,(-79.404404 36.587238),1935,1945,Conservative Party
36,Duncan Sandys,London,(-0.1275 51.507222222),1935,1935,Conservative Party
32,Tom Johnston,Kirkintilloch,(-4.154722222 55.935833333),1922,1923,Labour Party
34,Ellen Wilkinson,Ardwick,(-2.216111111 53.472222222),1924,1929,Labour Party
36,Clement Attlee,Putney,(-0.2211 51.4649),1931,1935,Labour Party
34,Ramsay MacDonald,Lossiemouth,(-3.28333 57.7167),1924,1929,Labour Party
34,Margaret Bondfield,Chard,(-2.9587 50.8728),1926,1929,Labour Party
34,Arthur Henderson,Glasgow,(-4.25 55.861111111),1924,1929,Labour Party
37,"Philip Noel-Baker, Baron Noel-Baker",Hendon,(-0.2252 51.5837),1936,1945,Labour Party
31,Henry Norris,London,(-0.1275 51.507222222),1918,1922,Conservative Party
34,"John Jacob Astor, 1st Baron Astor of Hever",New York City,(-74.006111111 40.712777777),1924,1929,Conservative Party
36,"Harry Crookshank, 1st Viscount Crookshank",Cairo,(31.235833333 30.044444444),1931,1935,Conservative Party
31,"Henry Forster, 1st Baron Forster",Kent,(0.73 51.19),1918,1919,Conservative Party
37,"Edward Turnour, 6th Earl Winterton",London,(-0.1275 51.507222222),1935,1945,Conservative Party
33,"Edward Wood, 1st Earl of Halifax",Powderham Castle,(-3.459972222 50.642972222),1923,1924,Conservative Party
37,"Samuel Hoare, 1st Viscount Templewood",London,(-0.1275 51.507222222),1935,1944,Conservative Party
36,Leo Amery,Gorakhpur,(83.366666666 26.761111111),1931,1935,Conservative Party
34,"Alfred Mond, 1st Baron Melchett",Farnworth,(-2.3999 53.5452),1926,1928,Conservative Party
31,"F. E. Smith, 1st Earl of Birkenhead",Birkenhead,(-3.016666666 53.383333333),1918,1919,Conservative Party
34,George Lansbury,Halesworth,(1.506 52.342),1924,1929,Labour Party
31,Michael Collins,Clonakilty,(-8.886395 51.62196),1918,1922,Sinn Féin
31,Éamon de Valera,Manhattan,(-73.994166666 40.728333333),1918,1922,Sinn Féin
31,Constance Markievicz,Westminster,(-0.1333 51.4995),1918,1922,Sinn Féin
31,"Albert Stanley, 1st Baron Ashfield",Normanton,(-1.491 52.898),1918,1920,Conservative Party
37,Leslie Hore-Belisha,Hampstead,(-0.1744 51.5541),1935,1945,Liberal Party
34,David Lloyd George,Manchester,(-2.233333333 53.466666666),1924,1929,Liberal Party
32,H. H. Asquith,Morley,(-1.602263888 53.749166666),1922,1923,Liberal Party
35,Norman Angell,Mansion House,(0.016249052 52.803947),1929,1931,Labour Party
37,"Wavell Wakefield, 1st Baron Wakefield of Kendal",London,(-0.1275 51.507222222),1935,1945,Conservative Party
37,Reginald Dorman-Smith,County Cavan,(-7.25 53.916666666),1935,1941,Conservative Party
37,"Douglas Clifton Brown, 1st Viscount Ruffside",Horsham,(-0.325 51.062),1935,1943,Conservative Party
31,James Ryan,Taghmon,(-7.27055556 53.59333333),1918,1922,Fianna Fáil
37,"Hugh Cecil, 1st Baron Quickswood",Hertfordshire,(-0.2 51.9),1935,1937,Conservative Party
34,"John Baird, 1st Viscount Stonehaven",Chelsea,(-0.1684 51.4875),1924,1925,Conservative Party
34,"Davison Dalziel, 1st Baron Dalziel of Wooler",London,(-0.1275 51.507222222),1924,1927,Conservative Party
34,"Sir Charles Trevelyan, 3rd Baronet",Greater London,(-0.083333333 51.5),1924,1929,Labour Party
37,"Gordon Macdonald, 1st Baron Macdonald of Gwaenysgor",Prestatyn,(-3.405 53.331),1935,1942,Labour Party
37,Malcolm MacDonald,Lossiemouth,(-3.28333 57.7167),1936,1945,Labour Party
34,Manny Shinwell,London,(-0.1275 51.507222222),1928,1929,Labour Party
35,John Strachey,Guildford,(-0.5746 51.2354),1929,1931,Labour Party
34,"John Moore-Brabazon, 1st Baron Brabazon of Tara",London,(-0.1275 51.507222222),1924,1929,Conservative Party
34,"George Lloyd, 1st Baron Lloyd",Warwickshire,(-1.583333333 52.333333333),1924,1925,Conservative Party
