parliament,member,birthPlace,coordinates,start,end,party
37,Alec Douglas-Home,Mayfair,(-0.147222222 51.510277777),1935,1945,Conservative Party
37,Harold Macmillan,Chelsea,(-0.1684 51.4875),1935,1945,Conservative Party
37,Anthony Eden,Durham,(-1.566666666 54.783333333),1935,1945,Conservative Party
34,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1924,1929,Conservative Party
38,"Quintin Hogg, Baron Hailsham of St Marylebone",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,Rab Butler,Attock Khurd,(72.234166666 33.888888888),1935,1945,Conservative Party
37,Randolph Churchill,London,(-0.1275 51.507222222),1940,1945,Conservative Party
36,Austen Chamberlain,Birmingham,(-1.9025 52.48),1931,1935,Conservative Party
37,"Nancy Astor, Viscountess Astor",Danville,(-79.404404 36.587238),1935,1945,Conservative Party
36,Duncan Sandys,London,(-0.1275 51.507222222),1935,1935,Conservative Party
35,Tom Johnston,Kirkintilloch,(-4.154722222 55.935833333),1929,1931,Labour Party
34,Ellen Wilkinson,Ardwick,(-2.216111111 53.472222222),1924,1929,Labour Party
38,"Elwyn Jones, Baron Elwyn-Jones",Llanelli,(-4.15 51.683333333),1945,1950,Labour Party
38,Harold Wilson,Huddersfield,(-1.779722222 53.645),1945,1950,Labour Party
36,Clement Attlee,Putney,(-0.2211 51.4649),1931,1935,Labour Party
34,Ramsay MacDonald,Lossiemouth,(-3.28333 57.7167),1924,1929,Labour Party
34,Margaret Bondfield,Chard,(-2.9587 50.8728),1926,1929,Labour Party
38,Barnett Stross,Pabianice,(19.35 51.664166666),1945,1950,Labour Party
34,Arthur Henderson,Glasgow,(-4.25 55.861111111),1924,1929,Labour Party
37,"Philip Noel-Baker, Baron Noel-Baker",Hendon,(-0.2252 51.5837),1936,1945,Labour Party
34,"John Jacob Astor, 1st Baron Astor of Hever",New York City,(-74.006111111 40.712777777),1924,1929,Conservative Party
36,"Harry Crookshank, 1st Viscount Crookshank",Cairo,(31.235833333 30.044444444),1931,1935,Conservative Party
37,"Edward Turnour, 6th Earl Winterton",London,(-0.1275 51.507222222),1935,1945,Conservative Party
34,"Edward Wood, 1st Earl of Halifax",Powderham Castle,(-3.459972222 50.642972222),1924,1925,Conservative Party
37,"Samuel Hoare, 1st Viscount Templewood",London,(-0.1275 51.507222222),1935,1944,Conservative Party
36,Leo Amery,Gorakhpur,(83.366666666 26.761111111),1931,1935,Conservative Party
34,"Alfred Mond, 1st Baron Melchett",Farnworth,(-2.3999 53.5452),1926,1928,Conservative Party
38,"David Renton, Baron Renton",Dartford,(0.217222222 51.444444444),1945,1950,Conservative Party
34,George Lansbury,Halesworth,(1.506 52.342),1924,1929,Labour Party
38,"John Boyd-Carpenter, Baron Boyd-Carpenter",Harrogate,(-1.537777777 53.991944444),1945,1950,Conservative Party
37,Leslie Hore-Belisha,Hampstead,(-0.1744 51.5541),1935,1945,Liberal Party
34,David Lloyd George,Manchester,(-2.233333333 53.466666666),1924,1929,Liberal Party
38,"Herbert Bowden, Baron Aylestone",Cardiff,(-3.179166666 51.481666666),1945,1950,Labour Party
35,Norman Angell,Mansion House,(0.016249052 52.803947),1929,1931,Labour Party
38,Arthur Blenkinsop,Newcastle upon Tyne,(-1.613333333 54.977777777),1945,1950,Labour Party
38,"Wavell Wakefield, 1st Baron Wakefield of Kendal",London,(-0.1275 51.507222222),1945,1950,Conservative Party
37,Reginald Dorman-Smith,County Cavan,(-7.25 53.916666666),1935,1941,Conservative Party
37,"Douglas Clifton Brown, 1st Viscount Ruffside",Horsham,(-0.325 51.062),1935,1943,Conservative Party
38,"Harold Lever, Baron Lever of Manchester",Manchester,(-2.233333333 53.466666666),1945,1950,Labour Party
37,"Hugh Cecil, 1st Baron Quickswood",Hertfordshire,(-0.2 51.9),1935,1937,Conservative Party
34,"John Baird, 1st Viscount Stonehaven",Chelsea,(-0.1684 51.4875),1924,1925,Conservative Party
34,"Davison Dalziel, 1st Baron Dalziel of Wooler",London,(-0.1275 51.507222222),1924,1927,Conservative Party
34,"Sir Charles Trevelyan, 3rd Baronet",Greater London,(-0.083333333 51.5),1924,1929,Labour Party
38,"Fred Peart, Baron Peart",Durham,(-1.566666666 54.783333333),1945,1950,Labour Party
37,Ernest Millington,Ilford,(0.085833333 51.5575),1945,1945,Labour Party
38,"Frank Soskice, Baron Stow Hill",Geneva,(6.15 46.2),1945,1950,Labour Party
37,"Gordon Macdonald, 1st Baron Macdonald of Gwaenysgor",Prestatyn,(-3.405 53.331),1935,1942,Labour Party
37,Malcolm MacDonald,Lossiemouth,(-3.28333 57.7167),1936,1945,Labour Party
34,Manny Shinwell,London,(-0.1275 51.507222222),1928,1929,Labour Party
38,John Strachey,Guildford,(-0.5746 51.2354),1945,1950,Labour Party
38,Hartley Shawcross,Giessen,(8.666666666 50.583333333),1945,1950,Labour Party
