parliament,member,birthPlace,coordinates,start,end,party
31,Stanley Baldwin,Bewdley,(-2.316238888 52.375238888),1918,1922,Conservative Party
31,Bonar Law,Rexton,(-64.871388888 46.642777777),1918,1922,Conservative Party
28,"Edward Carson, Baron Carson",Dublin,(-6.260277777 53.349722222),1906,1910,Conservative Party
28,Austen Chamberlain,Birmingham,(-1.9025 52.48),1906,1910,Conservative Party
31,"Nancy Astor, Viscountess Astor",Danville,(-79.404404 36.587238),1919,1922,Conservative Party
29,Ramsay MacDonald,Lossiemouth,(-3.28333 57.7167),1910,1910,Labour Party
31,Arthur Henderson,Glasgow,(-4.25 55.861111111),1919,1922,Labour Party
27,"Michael Hicks Beach, 1st Earl St Aldwyn",London,(-0.1275 51.507222222),1900,1906,Conservative Party
31,Henry Norris,London,(-0.1275 51.507222222),1918,1922,Conservative Party
30,George Wyndham,London,(-0.1275 51.507222222),1910,1913,Conservative Party
26,"Edgar Vincent, 1st Viscount D'Abernon",Sussex,(-0.141372694 50.947102699),1899,1900,Conservative Party
28,"Henry Forster, 1st Baron Forster",Kent,(0.73 51.19),1906,1910,Conservative Party
28,"Charles Vane-Tempest-Stewart, 7th Marquess of Londonderry",London,(-0.1275 51.507222222),1906,1910,Conservative Party
29,"Edward Turnour, 6th Earl Winterton",London,(-0.1275 51.507222222),1910,1910,Conservative Party
29,"Edward Wood, 1st Earl of Halifax",Powderham Castle,(-3.459972222 50.642972222),1910,1910,Conservative Party
31,"Samuel Hoare, 1st Viscount Templewood",London,(-0.1275 51.507222222),1918,1922,Conservative Party
31,Leo Amery,Gorakhpur,(83.366666666 26.761111111),1918,1922,Conservative Party
31,"Alfred Mond, 1st Baron Melchett",Farnworth,(-2.3999 53.5452),1918,1922,Conservative Party
26,Lord George Hamilton,Dublin,(-6.260277777 53.349722222),1895,1900,Conservative Party
29,"F. E. Smith, 1st Earl of Birkenhead",Birkenhead,(-3.016666666 53.383333333),1910,1910,Conservative Party
30,George Lansbury,Halesworth,(1.506 52.342),1910,1912,Labour Party
31,Michael Collins,Clonakilty,(-8.886395 51.62196),1918,1922,Sinn Féin
31,Éamon de Valera,Manhattan,(-73.994166666 40.728333333),1918,1922,Sinn Féin
