parliament,member,birthPlace,coordinates,start,end,party
5,Robert Peel,Ramsbottom,(-2.3169 53.6484),1812,1817,Conservative Party
7,"Edward Smith-Stanley, 14th Earl of Derby",London,(-0.1275 51.507222222),1822,1826,Conservative Party
7,"Henry Hardinge, 1st Viscount Hardinge",Wrotham,(0.308461111 51.30825),1820,1826,Conservative Party
6,"Charles Grant, 1st Baron Glenelg",Kolkata,(88.3638815 22.5726723),1818,1820,Conservative Party
6,"George Spencer-Churchill, 6th Duke of Marlborough",Wokingham,(-0.84 51.41),1818,1820,Conservative Party
6,Lord William Bentinck,Buckinghamshire,(-0.8 51.766666666),1818,1820,Whigs
6,"John Russell, 1st Earl Russell",Mayfair,(-0.147222222 51.510277777),1818,1820,Whigs
7,Edward Ellice,London,(-0.1275 51.507222222),1820,1826,Whigs
7,David Ricardo,London,(-0.1275 51.507222222),1820,1823,Whigs
7,"Henry Temple, 3rd Viscount Palmerston",Broadlands,(-1.496944444 50.980555555),1820,1826,Whigs
7,George Canning,London,(-0.1275 51.507222222),1820,1822,Tories
7,Francis Burdett,Wiltshire,(-1.9 51.3),1820,1826,Conservative Party
7,"Sir George Cockburn, 10th Baronet",London,(-0.1275 51.507222222),1820,1826,Conservative Party
7,"Charles Manners-Sutton, 1st Viscount Canterbury",Nottinghamshire,(-1.0 53.166666666),1820,1826,Tories
7,William Huskisson,Birtsmorton Court,(-2.292 52.0171),1820,1823,Tories
7,"John Lambton, 1st Earl of Durham",London,(-0.1275 51.507222222),1820,1826,Whigs
6,"Constantine Phipps, 1st Marquess of Normanby",London,(-0.1275 51.507222222),1818,1820,Whigs
7,"John Spencer, 3rd Earl Spencer",Spencer House,(-0.14 51.505277777),1820,1826,Whigs
7,"Francis Egerton, 1st Earl of Ellesmere",London,(-0.1275 51.507222222),1822,1826,Tories
6,James Ferguson,Aberdeenshire,(-2.123 57.151),1818,1820,Tories
7,"John Campbell, 2nd Marquess of Breadalbane",Dundee,(-2.97 56.460555555),1820,1826,Liberal Party
7,John Jones,Llandeilo,(-3.99918 51.8841),1821,1826,Conservative Party
7,Charles Arbuthnot,Rockfleet,(-9.635819 53.897042),1820,1826,Conservative Party
6,Henry Grattan,Dublin,(-6.260277777 53.349722222),1818,1820,Whigs
