parliament,member,birthPlace,coordinates,start,end,party
13,Benjamin Disraeli,London,(-0.1275 51.507222222),1837,1841,Conservative Party
14,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury",United Kingdom,(-2.0 54.6),1841,1847,Conservative Party
14,William Ewart Gladstone,Liverpool,(-2.991666666 53.407222222),1841,1845,Conservative Party
14,Robert Peel,Ramsbottom,(-2.3169 53.6484),1841,1847,Conservative Party
14,Robert Fitzroy,Ampton Hall,(0.7379 52.3061),1841,1843,Conservative Party
14,"Edward Smith-Stanley, 14th Earl of Derby",London,(-0.1275 51.507222222),1841,1844,Conservative Party
14,"Frederic Thesiger, 1st Baron Chelmsford",London,(-0.1275 51.507222222),1841,1844,Conservative Party
14,"Henry Hardinge, 1st Viscount Hardinge",Wrotham,(0.308461111 51.30825),1841,1844,Conservative Party
13,Henry Lowry-Corry,Dublin,(-6.260277777 53.349722222),1837,1841,Conservative Party
14,"Charles Gordon-Lennox, 6th Duke of Richmond",London,(-0.1275 51.507222222),1841,1847,Conservative Party
13,"George Spencer-Churchill, 6th Duke of Marlborough",Wokingham,(-0.84 51.41),1838,1840,Conservative Party
13,Lord William Bentinck,Buckinghamshire,(-0.8 51.766666666),1837,1839,Whigs
13,"John Russell, 1st Earl Russell",Mayfair,(-0.147222222 51.510277777),1837,1841,Whigs
13,Edward Ellice,London,(-0.1275 51.507222222),1837,1841,Whigs
14,"Henry Temple, 3rd Viscount Palmerston",Broadlands,(-1.496944444 50.980555555),1841,1847,Whigs
14,"Charles Shaw-Lefevre, 1st Viscount Eversley",London,(-0.1275 51.507222222),1841,1847,Whigs
13,"Thomas Wilde, 1st Baron Truro",London,(-0.1275 51.507222222),1837,1841,Whigs
13,"Philip Stanhope, 5th Earl Stanhope",Walmer,(1.3985 51.2043),1837,1841,Tories
13,"John Campbell, 1st Baron Campbell",Cupar,(-3.01155 56.3194),1837,1841,Whigs
14,"Fox Maule-Ramsay, 11th Earl of Dalhousie",Brechin,(-2.655277777 56.73),1841,1847,Whigs
14,"John Pakington, 1st Baron Hampton",Powick,(-2.2463 52.161266666),1841,1847,Conservative Party
14,"Anthony Ashley-Cooper, 7th Earl of Shaftesbury",London,(-0.1275 51.507222222),1841,1846,Tories
14,Thomas Gibson,Port of Spain,(-61.516666666 10.666666666),1841,1847,Liberal Party
14,Charles Napier,Falkirk,(-3.784444444 56.000555555),1841,1847,Liberal Party
14,"Sir Robert Inglis, 2nd Baronet",Snelston,(-1.776 52.988),1841,1847,Conservative Party
14,Lord Charles Wellesley,Dublin,(-6.260277777 53.349722222),1842,1847,Conservative Party
13,Francis Burdett,Wiltshire,(-1.9 51.3),1837,1841,Conservative Party
14,"Sidney Herbert, 1st Baron Herbert of Lea",Richmond,(-0.301 51.456),1841,1847,Conservative Party
14,Charles Sibthorp,Lincoln,(-0.55 53.25),1841,1847,Conservative Party
14,"Sir George Cockburn, 10th Baronet",London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,James Stuart-Wortley,London,(-0.1275 51.507222222),1842,1847,Conservative Party
13,"Charles Wood, 1st Viscount Halifax",Pontefract,(-1.312 53.691),1837,1841,Liberal Party
14,Edward Horsman,Stirling,(-3.9369 56.1166),1841,1847,Liberal Party
14,Lord George Bentinck,Welbeck Abbey,(-1.15603 53.2621),1841,1847,Conservative Party
13,"James Broun-Ramsay, 1st Marquess of Dalhousie",Midlothian,(-3.068611111 55.894166666),1837,1838,Conservative Party
13,James Yorke Scarlett,London,(-0.1275 51.507222222),1837,1841,Conservative Party
13,George Grote,London Borough of Bromley,(0.02 51.404444444),1837,1841,Liberal Party
14,George Rennie,East Lothian,(-2.75 55.916666666),1841,1842,Liberal Party
14,Robert Gore,County Wexford,(-6.666666666 52.5),1841,1847,Whigs
13,"Francis Egerton, 1st Earl of Ellesmere",London,(-0.1275 51.507222222),1837,1841,Tories
14,Howard Douglas,Gosport,(-1.124236111 50.795088888),1842,1847,Conservative Party
14,James Hanway Plumridge,Hopton on Sea,(1.738 52.534),1841,1847,Liberal Party
14,John Vivian,Frencq,(1.698333333 50.560555555),1841,1847,Liberal Party
14,John Erle-Drax,Blackmore Vale,(-2.31 50.94),1841,1847,Conservative Party
14,John Iltyd Nicholl,Llanmaes,(-3.46667 51.4167),1841,1847,Conservative Party
13,John Jones,Llandeilo,(-3.99918 51.8841),1837,1841,Conservative Party
14,Lord Alfred Paget,Lichfield,(-1.82653 52.6835),1841,1847,Liberal Party
13,Edward Joshua Cooper,Saint Stephen's Green,(-6.259166666 53.338055555),1837,1841,Irish Conservative Party
14,"Charles Bennet, 6th Earl of Tankerville",London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,John Gladstone,Liverpool,(-2.991666666 53.407222222),1842,1847,Conservative Party
14,Richard Cobden,Heyshott,(-0.723919444 50.955630555),1841,1847,Liberal Party
14,"Bingham Baring, 2nd Baron Ashburton",Philadelphia,(-75.163611111 39.952777777),1841,1847,Whigs
13,Charles Langdale,Stourton,(-2.32131 51.104),1837,1841,Whigs
14,"John Ponsonby, 5th Earl of Bessborough",London,(-0.1275 51.507222222),1841,1847,Liberal Party
14,"John Stuart-Wortley, 2nd Baron Wharncliffe",Egham,(-0.5479 51.4289),1841,1845,Tories
14,Charles Howard,Chiswick,(-0.2633 51.4925),1841,1847,Liberal Party
14,John Lewis Ricardo,England,(-1.0 53.0),1841,1847,Liberal Party
13,Richard Price,Knighton,(-3.048216 52.343917),1837,1841,Conservative Party
13,James Blair,Dumfries and Galloway,(-3.603 55.07),1837,1841,Conservative Party
14,Quintin Dick,Dublin,(-6.260277777 53.349722222),1841,1847,Conservative Party
14,Peter Greenall,Wilderspool,(-2.587 53.378),1841,1845,Conservative Party
14,Alexander Beresford Hope,London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,"John Manners, 7th Duke of Rutland",Belvoir Castle,(-0.78256 52.8945),1841,1847,Conservative Party
13,Charles Buller,Kolkata,(88.3638815 22.5726723),1837,1841,Whigs
14,George William Hope,Abercorn,(-3.474906 55.99512),1842,1847,Tories
13,De Lacy Evans,County Limerick,(-8.75 52.5),1837,1841,Liberal Party
13,"Charles Shore, 2nd Baron Teignmouth",Kolkata,(88.3638815 22.5726723),1838,1841,Conservative Party
14,"Thomas Babington Macaulay, 1st Baron Macaulay",Rothley Court,(-1.15536 52.7051),1841,1847,Whigs
13,Edward Bulwer-Lytton,London,(-0.1275 51.507222222),1837,1841,Whigs
14,Mark Philips,Whitefield,(-2.2992 53.5521),1841,1847,Liberal Party
14,Daniel O'Connell,Cahersiveen,(-10.223808 51.948286),1841,1842,Radicals
13,"Thomas Dundas, 2nd Earl of Zetland",Marylebone,(-0.147 51.5177),1837,1839,Whigs
14,"Evelyn Denison, 1st Viscount Ossington",Ossington,(-0.868611 53.1742),1841,1847,Whigs
13,Charles Pelham Villiers,London,(-0.1275 51.507222222),1837,1841,Liberal Party
14,Christopher Rice Mansel Talbot,Penrice Castle,(-4.17078 51.5752),1841,1847,Liberal Party
13,"George Howard, 7th Earl of Carlisle",Berkeley Square,(-0.145833333 51.509722222),1837,1841,Liberal Party
13,"Frederick Hervey, 2nd Marquess of Bristol",London,(-0.1275 51.507222222),1837,1841,Conservative Party
13,Frederick Trench,Ballinakill,(-7.31018 52.873683),1837,1841,Conservative Party
13,"Arthur Wellesley, 2nd Duke of Wellington",Harley Street,(-0.1477 51.5206),1837,1841,Conservative Party
14,James Harris,London,(-0.1275 51.507222222),1841,1841,Conservative Party
13,"George Rushout, 3rd Baron Northwick",Burford,(-2.594 52.317),1837,1841,Conservative Party
13,Daniel Whittle Harvey,Witham,(0.6373 51.7978),1837,1840,Radicals
14,John Ffolliott,County Sligo,(-8.666666666 54.25),1841,1847,Irish Conservative Party
13,George Buckley-Mathew,Datchet,(-0.5762 51.4841),1838,1841,Irish Conservative Party
14,Richard Blakemore,Darlaston,(-2.0457 52.5708),1841,1847,Conservative Party
13,"George Chichester, 3rd Marquess of Donegall",London,(-0.1275 51.507222222),1837,1838,Tories
14,Joseph Hume,Montrose,(-2.467 56.708),1842,1847,Tories
13,"Henry Labouchere, 1st Baron Taunton",Over Stowey,(-3.154 51.152),1837,1841,Whigs
14,"John Hobhouse, 1st Baron Broughton",Bristol,(-2.5975 51.453611111),1841,1847,Whigs
13,"James Abercromby, 1st Baron Dunfermline",Tullibody,(-3.83641 56.1354),1837,1839,Whigs
14,"Henry Grey, 3rd Earl Grey",Howick,(-1.598 55.451),1841,1845,Liberal Party
14,"Robert Vernon, 1st Baron Lyveden",London,(-0.1275 51.507222222),1841,1847,Whigs
13,"Robert Rolfe, 1st Baron Cranworth",Cranworth,(0.927044444 52.603519444),1837,1840,Liberal Party
14,"Richard Monckton Milnes, 1st Baron Houghton",Mayfair,(-0.147222222 51.510277777),1841,1847,Conservative Party
14,James Emerson Tennent,Belfast,(-5.93 54.596388888),1842,1845,Conservative Party
14,"Edward Douglas-Pennant, 1st Baron Penrhyn",York,(-1.083333333 53.95),1841,1847,Conservative Party
14,"Sir Thomas Dyke Acland, 10th Baronet",London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,"Charles Manners, 6th Duke of Rutland",Ashby-de-la-Zouch,(-1.476 52.746),1841,1847,Conservative Party
14,Andrew Leith Hay,Aberdeen,(-2.1 57.15),1841,1847,Scottish Liberal Party
13,Nicholas Aylward Vigors,County Carlow,(-6.833333333 52.666666666),1837,1840,Repeal Association
14,John Bowring,Exeter,(-3.526944444 50.725555555),1841,1847,Radicals
13,Joseph Planta,British Museum,(-0.126944444 51.519444444),1837,1841,Conservative Party
14,"John Manners-Sutton, 3rd Viscount Canterbury",London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,"John Young, 1st Baron Lisgar",Mumbai,(72.8775 19.075833333),1841,1847,Conservative Party
13,"Richard Temple-Nugent-Brydges-Chandos-Grenville, 2nd Duke of Buckingham and Chandos",Stowe House,(-1.01804 52.0312),1837,1839,Tories
14,"Edward St Maur, 12th Duke of Somerset",London,(-0.1275 51.507222222),1841,1847,Whigs
14,"Francis Baring, 1st Baron Northbrook",Kolkata,(88.3638815 22.5726723),1841,1847,Whigs
14,Thomas Wakley,Membury,(-3.022997222 50.821941666),1841,1847,Liberal Party
14,"Edward Cardwell, 1st Viscount Cardwell",Liverpool,(-2.991666666 53.407222222),1842,1847,Liberal Party
13,"Frederick Spencer, 4th Earl Spencer",London,(-0.1275 51.507222222),1837,1841,Whigs
14,John O'Connell,Dublin,(-6.260277777 53.349722222),1841,1847,Repeal Association
14,"Sir Alexander Grant, 8th Baronet",West Alvington,(-3.816666666 50.266666666),1841,1843,Conservative Party
13,"Sir John Owen, 1st Baronet",Wales,(-3.633333333 52.35),1837,1841,Conservative Party
14,"Orlando Bridgeman, 3rd Earl of Bradford",London,(-0.1275 51.507222222),1842,1847,Conservative Party
14,Peter Borthwick,Borthwick,(-3.0112 55.8251),1841,1847,Conservative Party
13,William Crompton-Stansfield,Yorkshire,(-1.083333333 53.958333333),1837,1841,Whigs
14,"William Courtenay, 11th Earl of Devon",London,(-0.1275 51.507222222),1841,1847,Conservative Party
13,William Henry Miller,Craigentinny,(-3.1328 55.9589),1837,1841,Conservative Party
13,"William Lowther, 2nd Earl of Lonsdale",London,(-0.1275 51.507222222),1837,1841,Conservative Party
14,William Stratford Dugdale,Warwickshire,(-1.583333333 52.333333333),1841,1847,Conservative Party
14,William Taylor Copeland,London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,John O'Brien,Limerick,(-8.6238 52.6653),1841,1847,Liberal Party
13,"Sir George Clerk, 6th Baronet",Penicuik House,(-3.2508 55.8197),1838,1841,Tories
13,"Sir Harry Verney, 2nd Baronet",Claydon,(1.108980555 52.107288888),1837,1841,Liberal Party
14,Jonathan Peel,England,(-1.0 53.0),1841,1847,Conservative Party
13,"Granville Leveson-Gower, 2nd Earl Granville",London,(-0.1275 51.507222222),1837,1840,Liberal Party
13,"William Cowper-Temple, 1st Baron Mount Temple",Brocket Hall,(-0.240624 51.8028),1837,1841,Liberal Party
13,William Hutt,Bishop's Stortford,(0.1725 51.872),1838,1841,Liberal Party
14,"Henry Cadogan, 4th Earl Cadogan",Mayfair,(-0.147222222 51.510277777),1841,1847,Conservative Party
14,Henry Goulburn,London,(-0.1275 51.507222222),1841,1847,Conservative Party
14,Henry Lowther,Lowther Castle,(-2.74028 54.6058),1841,1847,Conservative Party
13,"Edward Herbert, 2nd Earl of Powis",Montgomeryshire,(-3.5 52.5833),1837,1839,Conservative Party
14,"Sir James Graham, 2nd Baronet",Cumberland,(-3.0 54.75),1841,1847,Whigs
14,Patrick Chalmers,Aldbar Castle,(-2.69714 56.7115),1841,1842,Liberal Party
14,"Benjamin Hall, 1st Baron Llanover",London,(-0.1275 51.507222222),1841,1847,Whigs
13,"Charles Thomson, 1st Baron Sydenham",Waverley Abbey,(-0.758282 51.2004),1837,1839,Whigs
14,William Jardine,Lochmaben,(-3.4413 55.1281),1841,1843,Whigs
13,"Frederick Stewart, 4th Marquess of Londonderry",Grosvenor Square,(-0.151388888 51.511388888),1837,1841,Tories
14,Thomas Langlois Lefroy,Limerick,(-8.6238 52.6653),1841,1841,Irish Conservative Party
14,"Edward Eliot, 3rd Earl of St Germans",Plymouth,(-4.142222222 50.371388888),1841,1845,Tories
13,"Henry Petty-Fitzmaurice, 4th Marquess of Lansdowne",Lansdowne House,(-0.145427 51.508273),1837,1841,Liberal Party
13,"Edmond Roche, 1st Baron Fermoy",County Cork,(-8.75 52.0),1837,1841,Repeal Association
14,John Trotter,London,(-0.1275 51.507222222),1841,1847,Conservative Party
13,Thomas Maunsell,Thorpe Malsor,(-0.828 52.377),1837,1841,Conservative Party
13,"Sir George Grey, 2nd Baronet",Gibraltar,(-5.35 36.14),1837,1841,Whigs
14,Beriah Botfield,Norton,(-1.116969444 52.269108333),1841,1847,Conservative Party
13,"Hugh Cholmondeley, 2nd Baron Delamere",Vale Royal,(-2.6 53.25),1840,1841,Conservative Party
13,"Thomas Pemberton Leigh, 1st Baron Kingsdown",London,(-0.1275 51.507222222),1837,1841,Conservative Party
13,Fitzroy Kelly,London,(-0.1275 51.507222222),1838,1841,Conservative Party
13,"Francis Baring, 3rd Baron Ashburton",Philadelphia,(-75.163611111 39.952777777),1837,1841,Conservative Party
14,Edward Burtenshaw Sugden,London,(-0.1275 51.507222222),1841,1841,Conservative Party
13,"Edwin Wyndham-Quin, 3rd Earl of Dunraven and Mount-Earl",London,(-0.1275 51.507222222),1837,1841,Conservative Party
13,"Sir William Molesworth, 8th Baronet",London,(-0.1275 51.507222222),1837,1841,radicalism
14,William Lister,Addingham,(-1.8833 53.9333),1841,1841,Whigs
14,Thomas Gill,Tavistock,(-4.14424 50.55003),1841,1847,Whigs
13,David Morris,Carmarthen,(-4.316388888 51.856944444),1837,1841,Whigs
13,"Sir Frederick Pollock, 1st Baronet",Charing Cross,(-0.12755 51.5073),1837,1841,Tories
14,"James Duff, 5th Earl Fife",Edinburgh,(-3.189166666 55.953333333),1841,1847,Liberal Party
14,William Owen Stanley,Anglesey,(-4.376728 53.293975),1841,1847,Liberal Party
13,Henry Hope,London,(-0.1275 51.507222222),1837,1841,Conservative Party
13,"Edward Strutt, 1st Baron Belper",St Helen's House,(-1.48065 52.9274),1837,1841,Liberal Party
14,"Sir Richard Vyvyan, 8th Baronet",Mawgan-in-Meneage,(-5.206 50.08),1841,1847,Conservative Party
14,"Sir Stephen Glynne, 9th Baronet",Hawarden,(-3.02 53.182),1842,1847,Conservative Party
14,"Sir Thomas Dyke Acland, 11th Baronet",Broadclyst,(-3.433333333 50.766666666),1841,1847,Conservative Party
14,"Sir Thomas Gladstone, 2nd Baronet",Liverpool,(-2.991666666 53.407222222),1842,1842,Conservative Party
14,"Sir William Bagge, 1st Baronet",Stradsett,(0.45885 52.61785),1841,1847,Conservative Party
13,Thomas Duffield,Ancaster,(-0.55022 52.98646),1837,1841,Conservative Party
13,Stephen Woulfe,Ennis,(-8.9807 52.8463),1837,1838,Liberal Party
14,Joseph Brotherton,Old Whittington,(-1.43 53.26),1841,1847,Liberal Party
14,William John Hamilton,Wishaw,(-3.918333333 55.774166666),1841,1847,Conservative Party
14,"Sir Edward Colebrooke, 4th Baronet",Kolkata,(88.3638815 22.5726723),1842,1847,Liberal Party
14,Thomas Edward Taylor,Ardgillan Castle,(-6.16 53.586),1841,1847,Conservative Party
13,"Sir William Hayter, 1st Baronet",Winterbourne Stoke,(-1.891 51.168),1837,1841,Whigs
13,"William Bagot, 3rd Baron Bagot",Blithfield,(-1.9347 52.8129),1837,1841,Conservative Party
14,Thomas Wood,Westminster,(-0.1333 51.4995),1841,1847,Conservative Party
14,William Smith O'Brien,Dromoland Castle,(-8.90774 52.78203),1841,1847,
13,Edward Baines,Walton-le-Dale,(-2.665 53.746),1837,1841,
14,Grantley Berkeley,Gloucestershire,(-2.181118118 51.78462076),1841,1847,
14,"Sir George Staunton, 2nd Baronet",Salisbury,(-1.7936 51.074),1841,1847,
14,"James Bruce, 8th Earl of Elgin",London,(-0.1275 51.507222222),1841,1842,
14,George Julius Poulett Scrope,London,(-0.1275 51.507222222),1841,1847,
14,Thomas Slingsby Duncombe,Middlesex,(-0.416666666 51.5),1841,1847,
14,"Stratford Canning, 1st Viscount Stratford de Redcliffe",London,(-0.1275 51.507222222),1841,1842,
13,Edward Codrington,Dodington,(-2.36225 51.5186),1837,1840,
13,Winthrop Mackworth Praed,London,(-0.1275 51.507222222),1837,1839,
13,"Sir John Eardley-Wilmot, 1st Baronet",London,(-0.1275 51.507222222),1837,1841,
14,John Walter,London,(-0.1275 51.507222222),1842,1843,
13,Rufane Shaw Donkin,Exeter,(-3.526944444 50.725555555),1839,1841,
13,Thomas Talfourd,Reading,(-0.973055555 51.454166666),1837,1841,
14,Lord Arthur Lennox,Lennox,(-4.206 55.974),1841,1846,
14,John Heathcoat,Duffield,(-1.4889 52.9891),1841,1847,
13,"Hussey Vivian, 1st Baron Vivian",Truro,(-5.051 50.26),1837,1841,
13,Thomas Attwood,Halesowen,(-2.050936111 52.450163888),1837,1840,
14,"Adam Haldane-Duncan, 2nd Earl of Camperdown",Edinburgh,(-3.189166666 55.953333333),1841,1847,
13,Adolphus Dalrymple,London,(-0.1275 51.507222222),1837,1841,
13,Alexander Bannerman,Aberdeen,(-2.1 57.15),1837,1841,
14,Alexander Perceval,Derbyshire,(-1.61 53.18),1841,1841,
13,"Archibald Acheson, 3rd Earl of Gosford",Markethill,(-6.5214 54.2985),1837,1841,
14,Charles Hope,West Lothian,(-3.5 55.916666666),1841,1845,
14,Octavius Morgan,Newport,(-2.997777777 51.588611111),1841,1847,
14,Charles Richard Fox,Brompton,(-0.5515 54.2265),1841,1847,
14,David Barclay,Gilston,(0.099346 51.7896),1841,1847,
14,David Ochterlony Dyce Sombre,Sardhana,(77.62 29.15),1841,1842,
14,"Dudley Ryder, 2nd Earl of Harrowby",London,(-0.1275 51.507222222),1841,1847,
14,"Ernest Brudenell-Bruce, 3rd Marquess of Ailesbury",London,(-0.1275 51.507222222),1841,1847,
14,Evelyn John Shirley,Ettington,(-1.608 52.138),1841,1847,
13,Francis Aglionby,Skirwith Abbey,(-2.598853 54.682142),1837,1840,
13,"Francis Ogilvy-Grant, 6th Earl of Seafield",Castle Grant,(-3.594722222 57.351944444),1837,1840,
14,"George Child Villiers, 6th Earl of Jersey",London,(-0.1275 51.507222222),1841,1842,
14,"Gilbert Heathcote, 1st Baron Aveland",Normanton Hall,(-0.6206 52.6462),1841,1847,
14,Henry Gally Knight,Rotherham,(-1.357222222 53.43),1841,1846,
13,Henry Hanbury-Tracy,Toddington,(-1.94917 51.9928),1837,1838,
13,"James Alexander, 3rd Earl of Caledon",London,(-0.1275 51.507222222),1837,1839,
14,James Maitland Balfour,Whittingehame,(-2.63333 55.95),1841,1847,
14,James Morrison,Middle Wallop,(-1.58193 51.1333),1841,1847,
14,"John Egerton, Viscount Alford",Mayfair,(-0.147222222 51.510277777),1841,1847,
13,John Josiah Guest,Dowlais,(-3.352777777 51.760277777),1837,1841,
14,John Parker,Tickhill,(-1.113480555 53.430488888),1841,1847,
14,"Montagu Bertie, 6th Earl of Abingdon",Dover Street,(-0.142777777 51.508888888),1841,1847,
14,Peter Hesketh-Fleetwood,Wennington,(-2.586 54.124),1841,1847,
14,Ralph Bernal,London,(-0.1275 51.507222222),1842,1847,
14,Reginald Blewitt,Marylebone,(-0.147 51.5177),1841,1847,
14,"Robert Carew, 2nd Baron Carew",Dublin,(-6.260277777 53.349722222),1841,1847,
13,Robert Hollond,London,(-0.1275 51.507222222),1837,1841,
13,Robert Hyde Greg,Manchester,(-2.233333333 53.466666666),1839,1841,
14,"Robert Jocelyn, Viscount Jocelyn",London,(-0.1275 51.507222222),1842,1847,
14,"Robert Scarlett, 2nd Baron Abinger",London,(-0.1275 51.507222222),1841,1844,
13,"Sir John Edwards, 1st Baronet, of Garth",Plas Machynlleth,(-3.85287 52.5883),1837,1841,
13,"Sir Montagu Chapman, 3rd Baronet",Killua Castle,(-6.996211111 53.659538888),1837,1841,
13,"Sir Watkin Williams-Wynn, 5th Baronet",Wales,(-3.633333333 52.35),1837,1840,
14,"Sir Watkin Williams-Wynn, 6th Baronet",London,(-0.1275 51.507222222),1841,1847,
13,Stephen Lushington,South Hill Park,(-0.75 51.394),1837,1841,
13,Thomas Cochrane,London,(-0.1275 51.507222222),1839,1841,
13,William Addams Williams,Llangybi,(-2.9079 51.6658),1837,1841,
13,"William Barrington, 6th Viscount Barrington",London,(-0.1275 51.507222222),1837,1841,
14,"William Clements, 3rd Earl of Leitrim",Dublin,(-6.260277777 53.349722222),1841,1847,
14,William Dougal Christie,Mumbai,(72.8775 19.075833333),1842,1847,
13,William Erle,Fifehead Magdalen,(-2.313419444 50.992480555),1837,1841,
13,William Ewart,Liverpool,(-2.991666666 53.407222222),1839,1841,
14,William Ormsby-Gore,Bath,(-2.358611 51.381389),1841,1847,
14,William Sharman Crawford,Moira,(-6.232 54.48),1841,1847,
13,William Webb Follett,Follett Lodge,(-3.467712 50.68385),1837,1841,
13,William Williams,Llanpumsaint,(-4.3011 51.939),1837,1841,
14,Edward Royd Rice,Dover,(1.312222222 51.1275),1841,1847,
13,"Sir Joseph Bailey, 1st Baronet",Great Wenham,(1.015 52.003333333),1837,1841,
14,Joshua Scholefield,Sheffield,(-1.470277777 53.380833333),1841,1844,
14,John Phillpotts,Bridgwater,(-2.993 51.128),1841,1847,
14,William Joseph Denison,London,(-0.1275 51.507222222),1841,1847,
14,John Temple Leader,Wandsworth,(-0.192 51.455),1841,1847,
14,Pryse Pryse,Buscot,(-1.667 51.677),1842,1847,
14,William Henry Gregory,Dublin Castle,(-6.267394 53.343109),1842,1847,
14,Morgan O'Connell,Grenagh,(-8.612616 52.016474),1841,1847,
13,Wilson Jones,Ruthin,(-3.310555555 53.114444444),1837,1841,
13,Richard Richards,Dolgellau,(-3.885555555 52.743055555),1837,1841,
13,Robert Lawrence Dundas,Middlesex,(-0.416666666 51.5),1839,1841,
13,William Wilberforce,Clapham,(-0.133938888 51.463230555),1837,1838,
13,Alexander Chisholm,Inverness,(-4.225833333 57.483888888),1837,1838,
14,Philip William Skynner Miles,Clifton,(-2.62 51.46),1841,1847,
13,Alexander Ellice,Westminster,(-0.1333 51.4995),1837,1841,
